ce96c2718b567977fcedc548cf6d58cfee2e1a25,
Test=forkfork, Iter=0, ExecCount=5, Mean=1038813524.4, Standard Deviation=6007293.292155154
Test=forkforkfork, Iter=0, ExecCount=5, Mean=2421103651.4, Standard Deviation=131454020.37764648
Test=argptest, Iter=0, ExecCount=5, Mean=10428827.4, Standard Deviation=1717079.3138023065
Test=createdelete, Iter=0, ExecCount=5, Mean=1325231760.2, Standard Deviation=90287086.05574529
Test=linkunlink, Iter=0, ExecCount=5, Mean=531583151.4, Standard Deviation=4993938.555061055
Test=linktest, Iter=0, ExecCount=5, Mean=94361943.6, Standard Deviation=2687466.816661612
Test=unlinkread, Iter=0, ExecCount=5, Mean=91651545.6, Standard Deviation=4596100.436711463
Test=concreate, Iter=0, ExecCount=5, Mean=3874411214.2, Standard Deviation=45570250.32177251
Test=subdir, Iter=0, ExecCount=5, Mean=233299903.6, Standard Deviation=1329856.4684315748
Test=fourfiles, Iter=0, ExecCount=5, Mean=273382003.6, Standard Deviation=20406453.875801973
Test=sharedfd, Iter=0, ExecCount=5, Mean=840225370.6, Standard Deviation=9713350.788604043
Test=dirtest, Iter=0, ExecCount=5, Mean=48517404.4, Standard Deviation=3071683.3755284417
Test=exectest, Iter=0, ExecCount=5, Mean=72077228.4, Standard Deviation=624720.6166666024
Test=bigargtest, Iter=0, ExecCount=5, Mean=56147537, Standard Deviation=2215170.2282105773
Test=bigwrite, Iter=0, ExecCount=5, Mean=2115673024, Standard Deviation=108430162.64910936
Test=bsstest, Iter=0, ExecCount=5, Mean=11015403.2, Standard Deviation=886512.5971122463
Test=sbrkbasic, Iter=0, ExecCount=5, Mean=3098274416.8, Standard Deviation=25478987.530660626
Test=sbrkmuch, Iter=0, ExecCount=5, Mean=2319784360.2, Standard Deviation=11791831.66571289
Test=kernmem, Iter=0, ExecCount=5, Mean=327611542, Standard Deviation=38304418.10042395
Test=sbrkfail, Iter=0, ExecCount=5, Mean=2049532357.6, Standard Deviation=54605284.45784903
Test=sbrkarg, Iter=0, ExecCount=5, Mean=73065150.6, Standard Deviation=8484088.216524525
Test=validatetest, Iter=0, ExecCount=5, Mean=126942286.2, Standard Deviation=2247345.5267491024
Test=stacktest, Iter=0, ExecCount=5, Mean=14723654.2, Standard Deviation=2228396.0684482683
Test=opentest, Iter=0, ExecCount=5, Mean=17553599.2, Standard Deviation=1143600.2672383825
Test=writetest, Iter=0, ExecCount=5, Mean=1129443648, Standard Deviation=8689285.013133503
Test=writebig, Iter=0, ExecCount=5, Mean=2003987058.8, Standard Deviation=283092087.6164095
Test=createtest, Iter=0, ExecCount=5, Mean=1751526031.8, Standard Deviation=41220917.013852306
Test=openiput, Iter=0, ExecCount=5, Mean=320969938.4, Standard Deviation=95263244.6464563
Test=exitiput, Iter=0, ExecCount=5, Mean=53347724.8, Standard Deviation=1428141.2856402548
Test=iput, Iter=0, ExecCount=5, Mean=49620988.6, Standard Deviation=2599506.4072812553
Test=mem, Iter=0, ExecCount=5, Mean=919290456.4, Standard Deviation=272234372.7297583
